edge_id,from_pulse_id,to_pulse_id,birth_time,from_x,from_y,from_z,to_x,to_y,to_z,energy,color_r,color_g,color_b
1,1,2,0.1458176,0.10701256586947712,0.0,0.1684343365431462,0.8658289420348602,1.6265060240963856,0.0,0.0,0.6746987951807228,0.0,0.3253012048192771
2,2,3,0.4128768,0.8658289420348602,1.6265060240963856,0.0,2.4515605999189303,1.3855421686746987,3.0,1.0,0.7228915662650602,1.0,0.27710843373493976
3,3,4,0.6668288,2.4515605999189303,1.3855421686746987,3.0,3.9594649371706527,0.8433734939759036,0.6999439634438285,0.23331465448127614,0.8313253012048193,0.23331465448127614,0.1686746987951807
4,4,5,0.8142848,3.9594649371706527,0.8433734939759036,0.6999439634438285,4.835022294284557,5.0,0.4899576504015841,0.16331921680052805,0.0,0.16331921680052805,1.0
5,5,6,0.9519104,4.835022294284557,5.0,0.4899576504015841,5.6522091609242,1.0843373493975903,0.7622360406539004,0.2540786802179668,0.7831325301204819,0.2540786802179668,0.21686746987951808
