pulse_id,previous_pulse_id,start_time,end_time,birth_time,death_time,duration,inter_pulse_interval,peak_frequency_hz,mean_energy,max_energy,freq_norm,duration_norm,energy_norm,interval_norm,x_local,pos_x,pos_y,pos_z,size,brightness,color_r,color_g,color_b,visible,fade_in,fade_out
1,0,0.0180224,0.1294336,0.0180224,2.0209664,0.11141120000000002,0.0,13427.734375,0.29197805035805363,0.3406362414360046,0.0,0.44366197183098594,0.056144778847715404,0.0,0.008917713822456427,0.10701256586947712,0.0,0.1684343365431462,0.23528169014084505,0.24491582307817233,1.0,0.056144778847715404,0.0,1,0.08,0.25
2,1,0.1458176,0.1540096,0.1458176,2.0209664,0.008192000000000005,0.016383999999999982,17547.607421875,0.28072538177172346,0.28296207785606386,0.3253012048192771,0.0,0.0,0.06329113924050626,0.07215241183623834,0.8658289420348602,1.6265060240963856,0.0,0.08,0.2,0.6746987951807228,0.0,0.3253012048192771,1,0.08,0.25
3,2,0.4128768,0.6537216,0.4128768,2.0209664,0.24084480000000003,0.25886719999999996,16937.255859375,0.4811477330085394,0.9296166777610779,0.27710843373493976,1.0,1.0,1.0,0.20429671665991084,2.4515605999189303,1.3855421686746987,3.0,0.43,1.0,0.7228915662650602,1.0,0.27710843373493976,1,0.08,0.25
4,3,0.6668288,0.6897664,0.6668288,2.0209664,0.022937600000000002,0.013107199999999986,15563.96484375,0.32748685340086614,0.37322593331336973,0.1686746987951807,0.06338028169014083,0.23331465448127614,0.050632911392405014,0.32995541143088775,3.9594649371706527,0.8433734939759036,0.6999439634438285,0.1021830985915493,0.3866517235850209,0.8313253012048193,0.23331465448127614,0.1686746987951807,1,0.08,0.25
5,4,0.8142848,0.8585216,0.8142848,2.0209664,0.044236799999999965,0.12451840000000003,26092.529296875,0.3134582032050406,0.3398318946361542,1.0,0.15492957746478855,0.16331921680052805,0.4810126582278483,0.4029185245237131,4.835022294284557,5.0,0.4899576504015841,0.134225352112676,0.33065537344042245,0.0,0.16331921680052805,1.0,1,0.08,0.25
6,5,0.9519104,1.0371072,0.9519104,2.0209664,0.08519679999999985,0.09338880000000005,16174.31640625,0.33164842826015545,0.36179007887840275,0.21686746987951808,0.33098591549295703,0.2540786802179668,0.36075949367088633,0.4710174300770167,5.6522091609242,1.0843373493975903,0.7622360406539004,0.19584507042253496,0.40326294417437347,0.7831325301204819,0.2540786802179668,0.21686746987951808,1,0.08,0.25
