edge_id,from_pulse_id,to_pulse_id,birth_time,from_x,from_y,from_z,to_x,to_y,to_z,energy,color_r,color_g,color_b
1,1,2,2.536,3.8031101400848226,0.8695652173913043,0.0031639873724614515,3.91106541575633,0.5706521739130435,0.1311365362134968,0.04371217873783227,0.8858695652173914,0.04371217873783227,0.11413043478260869
2,2,3,2.604,3.91106541575633,0.5706521739130435,0.1311365362134968,4.01593625498008,0.842391304347826,0.5253939184579911,0.1751313061526637,0.8315217391304348,0.1751313061526637,0.16847826086956522
3,3,4,2.666,4.01593625498008,0.842391304347826,0.5253939184579911,4.111553784860558,1.1956521739130435,0.5260487928894496,0.17534959762981653,0.7608695652173914,0.17534959762981653,0.2391304347826087
4,4,5,2.814,4.111553784860558,1.1956521739130435,0.5260487928894496,4.339802081994602,1.3315217391304348,1.185323953234032,0.395107984411344,0.7336956521739131,0.395107984411344,0.266304347826087
5,5,6,2.88,4.339802081994602,1.3315217391304348,1.185323953234032,4.441588484770595,0.40760869565217395,2.258691997101205,0.7528973323670682,0.9184782608695652,0.7528973323670682,0.08152173913043478
6,6,7,2.936,4.441588484770595,0.40760869565217395,2.258691997101205,4.527952705307801,1.0054347826086958,3.0,1.0,0.7989130434782609,1.0,0.20108695652173914
7,7,8,2.994,4.527952705307801,1.0054347826086958,3.0,4.617401362292765,1.1956521739130435,2.406720640789608,0.8022402135965361,0.7608695652173914,0.8022402135965361,0.2391304347826087
8,8,9,3.036,4.617401362292765,1.1956521739130435,2.406720640789608,4.682174527695669,0.0,1.9432632249214294,0.6477544083071431,1.0,0.6477544083071431,0.0
9,9,10,3.078,4.682174527695669,0.0,1.9432632249214294,4.746947693098573,0.9510869565217392,1.5526491210511573,0.5175497070170524,0.8097826086956521,0.5175497070170524,0.19021739130434784
10,10,11,3.114,4.746947693098573,0.9510869565217392,1.5526491210511573,4.802467549158205,1.059782608695652,1.13564038406689,0.37854679468896335,0.7880434782608696,0.37854679468896335,0.21195652173913043
11,11,12,3.138,4.802467549158205,1.059782608695652,1.13564038406689,4.839480786531294,1.7391304347826086,1.141966723290711,0.380655574430237,0.6521739130434783,0.380655574430237,0.34782608695652173
12,12,13,3.172,4.839480786531294,1.7391304347826086,1.141966723290711,4.891916206143169,1.4673913043478262,0.35769921438836455,0.11923307146278818,0.7065217391304348,0.11923307146278818,0.29347826086956524
13,13,14,3.218,4.891916206143169,1.4673913043478262,0.35769921438836455,4.9628582444415885,1.684782608695652,0.28510933573898434,0.09503644524632812,0.6630434782608696,0.09503644524632812,0.33695652173913043
14,14,15,3.262,4.9628582444415885,1.684782608695652,0.28510933573898434,5.03071584629225,0.4891304347826087,0.2325830987268719,0.07752769957562397,0.9021739130434783,0.07752769957562397,0.09782608695652174
15,15,16,3.302,5.03071584629225,0.4891304347826087,0.2325830987268719,5.092404575247397,0.5978260869565217,0.0,0.0,0.8804347826086957,0.0,0.11956521739130435
16,16,17,3.41,5.092404575247397,0.5978260869565217,0.0,5.2589641434262955,5.0,0.61815038305548,0.20605012768515998,0.0,0.20605012768515998,1.0
17,17,18,3.456,5.2589641434262955,5.0,0.61815038305548,5.329906181724714,1.3043478260869565,0.86550477060042,0.28850159020014,0.7391304347826086,0.28850159020014,0.2608695652173913
18,18,19,3.506,5.329906181724714,1.3043478260869565,0.86550477060042,5.407017092918648,0.40760869565217395,1.205522658594613,0.40184088619820435,0.9184782608695652,0.40184088619820435,0.08152173913043478
19,19,20,3.636,5.407017092918648,0.40760869565217395,1.205522658594613,5.607505462022877,0.9782608695652174,0.1306254660574604,0.043541822019153464,0.8043478260869565,0.043541822019153464,0.1956521739130435
20,20,21,3.766,5.607505462022877,0.9782608695652174,0.1306254660574604,5.807993831127105,0.8967391304347826,0.6635695762261868,0.22118985874206226,0.8206521739130435,0.22118985874206226,0.1793478260869565
21,21,22,3.83,5.807993831127105,0.8967391304347826,0.6635695762261868,5.90669579745534,1.2228260869565217,0.40889377421485434,0.13629792473828478,0.7554347826086957,0.13629792473828478,0.24456521739130435
