pulse_id,previous_pulse_id,start_time,end_time,birth_time,death_time,duration,inter_pulse_interval,peak_frequency_hz,mean_energy,max_energy,freq_norm,duration_norm,energy_norm,interval_norm,x_local,pos_x,pos_y,pos_z,size,brightness,color_r,color_g,color_b,visible,fade_in,fade_out
1,0,2.727936,2.7328512,2.727936,12.6337024,0.004915199999999675,0.0,46234.130859375,0.30494741089642047,0.3352802902460098,0.375,0.0,0.15456133605964767,0.0,0.21592530151731293,2.591103618207755,1.875,0.463684008178943,0.08,0.32364906884771816,0.625,0.15456133605964767,0.375,1,0.08,0.25
2,1,2.9065216,2.9114368,2.9065216,12.6337024,0.0049152000000001195,0.17367040000000022,45928.955078125,0.27574327066540716,0.314706227183342,0.2916666666666667,2.4640958465579655e-14,0.0,0.9464285714285725,0.23006095188691478,2.7607314226429773,1.4583333333333335,0.0,0.08000000000000862,0.2,0.7083333333333333,0.0,0.2916666666666667,1,0.08,0.25
3,2,3.0097408,3.014656,3.0097408,12.6337024,0.0049152000000001195,0.09830399999999972,46844.482421875,0.3122154582291842,0.34974706172943115,0.5416666666666666,2.4640958465579655e-14,0.1930270843203606,0.5357142857142841,0.2382310984308131,2.858773181169757,2.708333333333333,0.5790812529610818,0.08000000000000862,0.3544216674562885,0.45833333333333337,0.1930270843203606,0.5416666666666666,1,0.08,0.25
4,3,3.0982144,3.1064064,3.0982144,12.6337024,0.008192000000000199,0.08355839999999981,46081.54296875,0.39926387133697666,0.4886301696300507,0.3333333333333333,0.18181818181821094,0.6537261127932054,0.4553571428571418,0.24523408118272594,2.9428089741927113,1.6666666666666665,1.9611783383796162,0.14363636363637383,0.7229808902345642,0.6666666666666667,0.6537261127932054,0.3333333333333333,1,0.08,0.25
5,4,3.186688,3.1965184,3.186688,12.6337024,0.009830399999999795,0.08028160000000018,45928.955078125,0.42196676241500036,0.5586345136165619,0.2916666666666667,0.2727272727272794,0.7738799385754015,0.4375000000000009,0.25223706393463885,3.026844767215666,1.4583333333333335,2.3216398157262046,0.1754545454545478,0.8191039508603213,0.7083333333333333,0.7738799385754015,0.2916666666666667,1,0.08,0.25
6,5,3.268608,3.2784384,3.268608,12.6337024,0.009830400000000239,0.07208959999999998,45928.955078125,0.4505982500101839,0.5929974079132081,0.2916666666666667,0.27272727272730407,0.9254105414653071,0.3928571428571427,0.258721307223447,3.104655686681364,1.4583333333333335,2.7762316243959213,0.1754545454545564,0.9403284331722457,0.7083333333333333,0.9254105414653071,0.2916666666666667,1,0.08,0.25
7,6,3.3439744,3.3538048,3.3439744,12.6337024,0.009830399999999795,0.06553599999999982,46386.71875,0.4436112285724709,0.5923311233520507,0.4166666666666667,0.2727272727272794,0.888432107587514,0.3571428571428561,0.26468681104915054,3.1762417325898067,2.0833333333333335,2.665296322762542,0.1754545454545478,0.9107456860700112,0.5833333333333333,0.888432107587514,0.4166666666666667,1,0.08,0.25
8,7,3.44064,3.448832,3.44064,12.6337024,0.008191999999999755,0.08683520000000033,46539.306640625,0.3397612062593301,0.4198135763406754,0.4583333333333333,0.1818181818181863,0.33881146915838795,0.4732142857142875,0.27233821812994424,3.2680586175593307,2.2916666666666665,1.016434407475164,0.1436363636363652,0.47104917532671037,0.5416666666666667,0.33881146915838795,0.4583333333333333,1,0.08,0.25
9,8,3.5373056,3.547136,3.5373056,12.6337024,0.009830400000000239,0.08847359999999993,46386.71875,0.417706279030868,0.5641114771366119,0.4166666666666667,0.27272727272730407,0.7513315601981422,0.4821428571428567,0.2799896252107379,3.3598755025288547,2.0833333333333335,2.2539946805944266,0.1754545454545564,0.8010652481585139,0.5833333333333333,0.7513315601981422,0.4166666666666667,1,0.08,0.25
10,9,3.7076992,3.7175296,3.7076992,12.6337024,0.009830400000000239,0.1605631999999999,46539.306640625,0.43244111655013906,0.5705791592597962,0.4583333333333333,0.27272727272730407,0.8293148925470891,0.8749999999999994,0.29347685125145895,3.5217222150175074,2.2916666666666665,2.4879446776412673,0.1754545454545564,0.8634519140376713,0.5416666666666667,0.8293148925470891,0.4583333333333333,1,0.08,0.25
11,10,3.8076416,3.817472,3.8076416,12.6337024,0.009830399999999795,0.09011199999999997,47149.658203125,0.43061061650514604,0.5763928592205048,0.625,0.2727272727272794,0.8196270698488911,0.4910714285714284,0.301387628063805,3.6166515367656595,3.125,2.458881209546673,0.1754545454545478,0.8557016558791128,0.375,0.8196270698488911,0.625,1,0.08,0.25
12,11,3.9796736,3.989504,3.9796736,12.6337024,0.009830400000000239,0.16220159999999995,46997.0703125,0.4493355645665101,0.6007167100906372,0.5833333333333334,0.27272727272730407,0.9187278469003071,0.8839285714285711,0.3150045389703021,3.7800544676436254,2.916666666666667,2.7561835407009214,0.1754545454545564,0.9349822775202457,0.41666666666666663,0.9187278469003071,0.5833333333333334,1,0.08,0.25
13,12,4.0599552,4.079616,4.0599552,12.6337024,0.01966079999999959,0.07045119999999994,47302.24609375,0.3626503929495811,0.5051659762859344,0.6666666666666666,0.8181818181818137,0.4599512544141428,0.38392857142857106,0.3213590973933342,3.85630916872001,3.333333333333333,1.3798537632424284,0.3663636363636348,0.5679610035313143,0.33333333333333337,0.4599512544141428,0.6666666666666666,1,0.08,0.25
14,13,4.1713664,4.1828352,4.1713664,12.6337024,0.011468800000000279,0.09175040000000045,45776.3671875,0.45025677178055046,0.6280188858509064,0.25,0.36363636363639723,0.9236032863641493,0.5000000000000024,0.33017766826611333,3.96213201919336,1.25,2.770809859092448,0.20727272727273904,0.9388826290913195,0.75,0.9236032863641493,0.25,1,0.08,0.25
15,14,4.2500096,4.2729472,4.2500096,12.6337024,0.02293759999999967,0.06717439999999986,48522.94921875,0.447803951551517,0.6041325449943542,1.0,1.0,0.9106218676778033,0.36607142857142777,0.3364025418233692,4.036830501880431,5.0,2.73186560303341,0.43,0.9284974941422426,0.0,0.9106218676778033,1.0,1,0.08,0.25
16,15,4.3630592,4.3712512,4.3630592,12.6337024,0.008191999999999311,0.09011200000000041,46081.54296875,0.399919069185853,0.4923379004001618,0.3333333333333333,0.18181818181816164,0.6571937120481287,0.49107142857143077,0.34535079756192455,4.144209570743095,1.6666666666666665,1.971581136144386,0.14363636363635657,0.7257549696385031,0.6666666666666667,0.6571937120481287,0.3333333333333333,1,0.08,0.25
17,16,4.4384256,4.4466176,4.4384256,12.6337024,0.008191999999999311,0.06717440000000074,46539.306640625,0.3557704877108336,0.436821261048317,0.4583333333333333,0.18181818181816164,0.4235397272384396,0.3660714285714326,0.3513163013876281,4.215795616651537,2.2916666666666665,1.2706191817153187,0.14363636363635657,0.5388317817907518,0.5416666666666667,0.4235397272384396,0.4583333333333333,1,0.08,0.25
