edge_id,from_pulse_id,to_pulse_id,birth_time,from_x,from_y,from_z,to_x,to_y,to_z,energy,color_r,color_g,color_b
1,1,2,2.9065216,2.591103618207755,1.875,0.463684008178943,2.7607314226429773,1.4583333333333335,0.0,0.0,0.7083333333333333,0.0,0.2916666666666667
2,2,3,3.0097408,2.7607314226429773,1.4583333333333335,0.0,2.858773181169757,2.708333333333333,0.5790812529610818,0.1930270843203606,0.45833333333333337,0.1930270843203606,0.5416666666666666
3,3,4,3.0982144,2.858773181169757,2.708333333333333,0.5790812529610818,2.9428089741927113,1.6666666666666665,1.9611783383796162,0.6537261127932054,0.6666666666666667,0.6537261127932054,0.3333333333333333
4,4,5,3.186688,2.9428089741927113,1.6666666666666665,1.9611783383796162,3.026844767215666,1.4583333333333335,2.3216398157262046,0.7738799385754015,0.7083333333333333,0.7738799385754015,0.2916666666666667
5,5,6,3.268608,3.026844767215666,1.4583333333333335,2.3216398157262046,3.104655686681364,1.4583333333333335,2.7762316243959213,0.9254105414653071,0.7083333333333333,0.9254105414653071,0.2916666666666667
6,6,7,3.3439744,3.104655686681364,1.4583333333333335,2.7762316243959213,3.1762417325898067,2.0833333333333335,2.665296322762542,0.888432107587514,0.5833333333333333,0.888432107587514,0.4166666666666667
7,7,8,3.44064,3.1762417325898067,2.0833333333333335,2.665296322762542,3.2680586175593307,2.2916666666666665,1.016434407475164,0.33881146915838795,0.5416666666666667,0.33881146915838795,0.4583333333333333
8,8,9,3.5373056,3.2680586175593307,2.2916666666666665,1.016434407475164,3.3598755025288547,2.0833333333333335,2.2539946805944266,0.7513315601981422,0.5833333333333333,0.7513315601981422,0.4166666666666667
9,9,10,3.7076992,3.3598755025288547,2.0833333333333335,2.2539946805944266,3.5217222150175074,2.2916666666666665,2.4879446776412673,0.8293148925470891,0.5416666666666667,0.8293148925470891,0.4583333333333333
10,10,11,3.8076416,3.5217222150175074,2.2916666666666665,2.4879446776412673,3.6166515367656595,3.125,2.458881209546673,0.8196270698488911,0.375,0.8196270698488911,0.625
11,11,12,3.9796736,3.6166515367656595,3.125,2.458881209546673,3.7800544676436254,2.916666666666667,2.7561835407009214,0.9187278469003071,0.41666666666666663,0.9187278469003071,0.5833333333333334
12,12,13,4.0599552,3.7800544676436254,2.916666666666667,2.7561835407009214,3.85630916872001,3.333333333333333,1.3798537632424284,0.4599512544141428,0.33333333333333337,0.4599512544141428,0.6666666666666666
13,13,14,4.1713664,3.85630916872001,3.333333333333333,1.3798537632424284,3.96213201919336,1.25,2.770809859092448,0.9236032863641493,0.75,0.9236032863641493,0.25
14,14,15,4.2500096,3.96213201919336,1.25,2.770809859092448,4.036830501880431,5.0,2.73186560303341,0.9106218676778033,0.0,0.9106218676778033,1.0
15,15,16,4.3630592,4.036830501880431,5.0,2.73186560303341,4.144209570743095,1.6666666666666665,1.971581136144386,0.6571937120481287,0.6666666666666667,0.6571937120481287,0.3333333333333333
16,16,17,4.4384256,4.144209570743095,1.6666666666666665,1.971581136144386,4.215795616651537,2.2916666666666665,1.2706191817153187,0.4235397272384396,0.5416666666666667,0.4235397272384396,0.4583333333333333
17,17,18,4.5563904,4.215795616651537,2.2916666666666665,1.2706191817153187,4.327843340682142,2.2916666666666665,1.8549265626461526,0.6183088542153842,0.5416666666666667,0.6183088542153842,0.4583333333333333
18,18,19,4.6546944,4.327843340682142,2.2916666666666665,1.8549265626461526,4.42121644404098,2.2916666666666665,1.1226477093238982,0.3742159031079661,0.5416666666666667,0.3742159031079661,0.4583333333333333
19,19,20,4.83328,4.42121644404098,2.2916666666666665,1.1226477093238982,4.590844248476203,1.875,2.289503731135088,0.7631679103783626,0.625,0.7631679103783626,0.375
20,20,21,4.9217536,4.590844248476203,1.875,2.289503731135088,4.674880041499157,2.2916666666666665,1.7567692133889072,0.5855897377963024,0.5416666666666667,0.5855897377963024,0.4583333333333333
21,21,22,5.0266112,4.674880041499157,2.2916666666666665,1.7567692133889072,4.77447801841525,2.0833333333333335,3.0,1.0,0.5833333333333333,1.0,0.4166666666666667
22,22,23,5.1232768,4.77447801841525,2.0833333333333335,3.0,4.866294903384775,1.875,2.278843664280733,0.7596145547602443,0.625,0.7596145547602443,0.375
23,23,24,5.2051968,4.866294903384775,1.875,2.278843664280733,4.9441058228504735,1.4583333333333335,0.5162955728542852,0.17209852428476172,0.7083333333333333,0.17209852428476172,0.2916666666666667
24,24,25,5.267456,4.9441058228504735,1.4583333333333335,0.5162955728542852,5.003242121644404,1.0416666666666667,0.7929986378286166,0.2643328792762055,0.7916666666666666,0.2643328792762055,0.20833333333333334
25,25,26,5.3428224,5.003242121644404,1.0416666666666667,0.7929986378286166,5.074828167552846,1.25,2.4933008342106193,0.8311002780702065,0.75,0.8311002780702065,0.25
26,26,27,5.521408,5.074828167552846,1.25,2.4933008342106193,5.244455971988069,0.625,2.1298836702878856,0.7099612234292952,0.875,0.7099612234292952,0.125
27,27,28,5.7131008,5.244455971988069,0.625,2.1298836702878856,5.4265335235378025,0.0,0.7637879294935832,0.2545959764978611,1.0,0.2545959764978611,0.0
