edge_id,from_pulse_id,to_pulse_id,birth_time,from_x,from_y,from_z,to_x,to_y,to_z,energy,color_r,color_g,color_b
1,1,2,3.2210944,1.7862393059404749,4.405940594059406,0.11249108727351756,1.89516809254127,4.158415841584159,0.37836752475320357,0.12612250825106786,0.16831683168316836,0.12612250825106786,0.8316831683168316
2,2,3,3.3193984,1.89516809254127,4.158415841584159,0.37836752475320357,1.9530063863116036,4.158415841584159,1.1054289999068743,0.3684763333022914,0.16831683168316836,0.3684763333022914,0.8316831683168316
3,3,4,3.4226176,1.9530063863116036,4.158415841584159,1.1054289999068743,2.0137365947704544,4.306930693069307,0.793198092884082,0.264399364294694,0.13861386138613863,0.264399364294694,0.8613861386138614
4,4,5,3.5209216,2.0137365947704544,4.306930693069307,0.793198092884082,2.071574888540788,4.356435643564357,2.0111604675009356,0.6703868225003119,0.12871287128712872,0.6703868225003119,0.8712871287128713
5,5,6,3.612672,2.071574888540788,4.356435643564357,2.0111604675009356,2.125557296059766,4.405940594059406,1.8510774636416074,0.6170258212138692,0.1188118811881188,0.6170258212138692,0.8811881188118812
6,6,7,3.7044224,2.125557296059766,4.405940594059406,1.8510774636416074,2.1795397035787443,4.257425742574258,2.3487274041397477,0.7829091347132493,0.14851485148514854,0.7829091347132493,0.8514851485148515
7,7,8,3.7994496,2.1795397035787443,4.257425742574258,2.3487274041397477,2.2354500542234,4.257425742574258,2.1917543738732794,0.7305847912910931,0.14851485148514854,0.7305847912910931,0.8514851485148515
8,8,9,3.8977536,2.2354500542234,4.257425742574258,2.1917543738732794,2.293288347993734,4.455445544554456,1.8111082044113784,0.6037027348037928,0.1089108910891089,0.6037027348037928,0.8910891089108911
9,9,10,4.1058304,2.293288347993734,4.455445544554456,1.8111082044113784,2.415712736474274,4.306930693069307,1.4909191760376996,0.4969730586792332,0.13861386138613863,0.4969730586792332,0.8613861386138614
10,10,11,4.2057728,2.415712736474274,4.306930693069307,1.4909191760376996,2.4745150018074464,4.405940594059406,0.5126904624270998,0.17089682080903326,0.1188118811881188,0.17089682080903326,0.8811881188118812
11,11,12,4.2991616,2.4745150018074464,4.405940594059406,0.5126904624270998,2.5294613808892636,4.306930693069307,0.5360063275738387,0.17866877585794622,0.13861386138613863,0.17866877585794622,0.8613861386138614
12,12,13,5.6885248,2.5294613808892636,4.306930693069307,0.5360063275738387,3.346909266176648,3.910891089108911,0.8454360750232259,0.281812025007742,0.2178217821782178,0.281812025007742,0.7821782178217822
13,13,14,5.7802752,3.346909266176648,3.910891089108911,0.8454360750232259,3.400891673695626,3.910891089108911,0.4279906770257217,0.1426635590085739,0.2178217821782178,0.1426635590085739,0.7821782178217822
14,14,15,5.8753024,3.400891673695626,3.910891089108911,0.4279906770257217,3.4568020243402815,3.7128712871287126,1.1452173277373883,0.38173910924579607,0.25742574257425743,0.38173910924579607,0.7425742574257426
15,15,16,6.0735488,3.4568020243402815,3.7128712871287126,1.1452173277373883,3.5734425834437884,3.762376237623762,0.7531947687110461,0.25106492290368204,0.24752475247524752,0.25106492290368204,0.7524752475247525
16,16,17,6.176768,3.5734425834437884,3.762376237623762,0.7531947687110461,3.634172791902639,3.564356435643564,0.5457594131286727,0.18191980437622424,0.28712871287128716,0.18191980437622424,0.7128712871287128
17,17,18,6.3766528,3.634172791902639,3.564356435643564,0.5457594131286727,3.751777322568984,3.910891089108911,0.028809298274366298,0.009603099424788765,0.2178217821782178,0.009603099424788765,0.7821782178217822
18,18,19,7.5399168,3.751777322568984,3.910891089108911,0.028809298274366298,4.436197132184601,3.9603960396039604,0.4480927198384905,0.14936423994616352,0.20792079207920788,0.14936423994616352,0.7920792079207921
