pulse_id,previous_pulse_id,start_time,end_time,birth_time,death_time,duration,inter_pulse_interval,peak_frequency_hz,mean_energy,max_energy,freq_norm,duration_norm,energy_norm,interval_norm,x_local,pos_x,pos_y,pos_z,size,brightness,color_r,color_g,color_b,visible,fade_in,fade_out
1,0,3.888,3.894,3.888,30.9995,0.006000000000000227,0.0,19125.0,0.16353429444134235,0.17324454784393312,0.3125,0.05555555555552677,0.010573374456856728,0.0,0.1254213777641575,1.5050565331698897,1.5625,0.03172012337057018,0.09944444444443437,0.2084586995654854,0.6875,0.010573374456856728,0.3125,1,0.08,0.25
2,1,5.812,5.828,5.812,30.9995,0.016000000000000014,1.9180000000000001,19625.0,0.20431364907158744,0.24143317341804507,0.4375,0.33333333333330867,0.1087665673908902,0.3207357859531775,0.18748689494991855,2.2498427393990226,2.1875,0.3262997021726706,0.19666666666665802,0.28701325391271215,0.5625,0.1087665673908902,0.4375,1,0.08,0.25
3,2,6.446,6.468,6.446,30.9995,0.02200000000000024,0.6179999999999994,19875.0,0.21956974466641746,0.25448335111141207,0.5,0.4999999999999877,0.14550193879993495,0.10334448160535113,0.20793883772318908,2.495266052678269,2.5,0.43650581639980485,0.2549999999999957,0.316401551039948,0.5,0.14550193879993495,0.5,1,0.08,0.25
4,3,7.102,7.142,7.102,30.9995,0.040000000000000036,0.6340000000000003,19125.0,0.29393764730720295,0.5039210438728332,0.3125,1.0,0.3245734782668698,0.10602006688963223,0.22910046936240908,2.749205632348909,1.5625,0.9737204348006093,0.43,0.45965878261349585,0.6875,0.3245734782668698,0.3125,1,0.08,0.25
5,4,7.738,7.77,7.738,30.9995,0.03199999999999914,0.5960000000000001,19375.0,0.45775284368325686,0.6802001595497132,0.375,0.7777777777777449,0.7190264393088323,0.09966555183946495,0.24961692930531137,2.9954031516637363,1.875,2.1570793179264967,0.3522222222222107,0.7752211514470659,0.625,0.7190264393088323,0.375,1,0.08,0.25
6,5,8.06,8.09,8.06,30.9995,0.02999999999999936,0.2900000000000009,19750.0,0.4300662877387368,0.6383923411369324,0.46875,0.7222222222221935,0.6523595841270972,0.048494983277592156,0.26000419361602606,3.120050323392313,2.34375,1.9570787523812916,0.33277777777776774,0.7218876673016779,0.53125,0.6523595841270972,0.46875,1,0.08,0.25
7,6,8.876,8.904,8.876,30.9995,0.02800000000000047,0.7859999999999996,18750.0,0.27592207749684655,0.34610823392868045,0.21875,0.6666666666666666,0.28119352931365993,0.131438127090301,0.2863271988257875,3.43592638590945,1.09375,0.8435805879409798,0.3133333333333333,0.42495482345092794,0.78125,0.28119352931365993,0.21875,1,0.08,0.25
8,7,9.096,9.112,9.096,30.9995,0.016000000000000014,0.19200000000000017,20875.0,0.18535952601167893,0.21017502546310426,0.75,0.33333333333330867,0.0631266626059178,0.03210702341137128,0.29342408748528204,3.5210890498233844,3.75,0.1893799878177534,0.19666666666665802,0.25050133008473424,0.25,0.0631266626059178,0.75,1,0.08,0.25
9,8,10.42,10.444,10.42,30.9995,0.02400000000000091,1.3079999999999998,21125.0,0.36852125101364575,0.5702555418014527,0.8125,0.5555555555555638,0.5041644074237154,0.21872909698996665,0.3361344537815126,4.033613445378151,4.0625,1.512493222271146,0.2744444444444473,0.6033315259389723,0.1875,0.5041644074237154,0.8125,1,0.08,0.25
10,9,10.69,10.714,10.69,30.9995,0.02400000000000091,0.24599999999999866,21625.0,0.33417366896397793,0.4552380859851837,0.9375,0.5555555555555638,0.4214583719407722,0.041137123745819196,0.3448442716818013,4.138131260181616,4.6875,1.2643751158223164,0.2744444444444473,0.5371666975526177,0.0625,0.4214583719407722,0.9375,1,0.08,0.25
11,10,11.202,11.228,11.202,30.9995,0.0259999999999998,0.48799999999999955,21875.0,0.5744403668280159,0.9044517874717714,1.0,0.6111111111110905,1.0,0.08160535117056852,0.36136066710753395,4.336328005290407,5.0,3.0,0.29388888888888165,1.0,0.0,1.0,1.0,1,0.08,0.25
12,11,11.55,11.59,11.55,30.9995,0.03999999999999915,0.32200000000000095,20750.0,0.4804057470212379,0.8552919745445252,0.71875,0.9999999999999754,0.7735726901789386,0.053846153846154036,0.3725866546234617,4.47103985548154,3.59375,2.320718070536816,0.4299999999999914,0.8188581521431508,0.28125,0.7735726901789386,0.71875,1,0.08,0.25
13,12,11.962,11.992,11.962,30.9995,0.030000000000001137,0.3719999999999999,20250.0,0.3124914829619229,0.4929512560367585,0.59375,0.7222222222222427,0.36924952526735455,0.062207357859531784,0.3858771915676059,4.6305262988112705,2.96875,1.1077485758020638,0.33277777777778494,0.4953996202138837,0.40625,0.36924952526735455,0.59375,1,0.08,0.25
14,13,12.334,12.36,12.334,30.9995,0.0259999999999998,0.34199999999999875,20750.0,0.2823139509452241,0.4272830128669739,0.71875,0.6111111111110905,0.29658461307203204,0.05719063545150484,0.3978773851191148,4.774528621429377,3.59375,0.8897538392160962,0.29388888888888165,0.43726769045762565,0.28125,0.29658461307203204,0.71875,1,0.08,0.25
15,14,16.06,16.074,16.06,30.9995,0.014000000000002899,3.6999999999999993,20125.0,0.21177296405658125,0.25181934237480164,0.5625,0.27777777777783125,0.1267279589361595,0.6187290969899668,0.518072872143099,6.216874465717188,2.8125,0.38018387680847854,0.17722222222224093,0.30138236714892763,0.4375,0.1267279589361595,0.5625,1,0.08,0.25
16,15,16.554,16.564,16.554,30.9995,0.010000000000001563,0.4799999999999969,20625.0,0.1758286508421103,0.193623349070549,0.6875,0.166666666666679,0.040177131578726634,0.08026755852842761,0.5340086130421458,6.408103356505749,3.4375,0.12053139473617991,0.13833333333333764,0.23214170526298133,0.3125,0.040177131578726634,0.6875,1,0.08,0.25
17,16,17.042,17.068,17.042,30.9995,0.0259999999999998,0.47800000000000153,19875.0,0.3312898231537215,0.49626697301864625,0.5,0.6111111111110905,0.414514318249729,0.07993311036789327,0.5497508024322973,6.597009629187568,2.5,1.243542954749187,0.29388888888888165,0.5316114545997832,0.5,0.414514318249729,0.5,1,0.08,0.25
18,17,17.68,17.71,17.68,30.9995,0.030000000000001137,0.6119999999999983,18750.0,0.38089782965835184,0.5599051594734192,0.21875,0.7222222222222427,0.5339661486661211,0.1023411371237456,0.5703317795448314,6.843981354537977,1.09375,1.6018984459983634,0.33277777777778494,0.627172918932897,0.78125,0.5339661486661211,0.21875,1,0.08,0.25
19,18,18.152,18.182,18.152,30.9995,0.029999999999997584,0.44200000000000017,19125.0,0.5146738565992564,0.8822415590286256,0.3125,0.722222222222144,0.8560873627574817,0.07391304347826094,0.5855578315779287,7.026693978935144,1.5625,2.568262088272445,0.3327777777777504,0.8848698902059853,0.6875,0.8560873627574817,0.3125,1,0.08,0.25
20,19,18.766,18.796,18.766,30.9995,0.030000000000001137,0.5839999999999996,18250.0,0.36099310201825574,0.5111000835895538,0.09375,0.7222222222222427,0.48603726947749043,0.09765886287625417,0.6053646026548815,7.264375231858578,0.46875,1.4581118084324713,0.33277777777778494,0.5888298155819924,0.90625,0.48603726947749043,0.09375,1,0.08,0.25
