edge_id,from_pulse_id,to_pulse_id,birth_time,from_x,from_y,from_z,to_x,to_y,to_z,energy,color_r,color_g,color_b
1,1,2,5.812,1.5050565331698897,1.5625,0.03172012337057018,2.2498427393990226,2.1875,0.3262997021726706,0.1087665673908902,0.5625,0.1087665673908902,0.4375
2,2,3,6.446,2.2498427393990226,2.1875,0.3262997021726706,2.495266052678269,2.5,0.43650581639980485,0.14550193879993495,0.5,0.14550193879993495,0.5
3,3,4,7.102,2.495266052678269,2.5,0.43650581639980485,2.749205632348909,1.5625,0.9737204348006093,0.3245734782668698,0.6875,0.3245734782668698,0.3125
4,4,5,7.738,2.749205632348909,1.5625,0.9737204348006093,2.9954031516637363,1.875,2.1570793179264967,0.7190264393088323,0.625,0.7190264393088323,0.375
5,5,6,8.06,2.9954031516637363,1.875,2.1570793179264967,3.120050323392313,2.34375,1.9570787523812916,0.6523595841270972,0.53125,0.6523595841270972,0.46875
6,6,7,8.876,3.120050323392313,2.34375,1.9570787523812916,3.43592638590945,1.09375,0.8435805879409798,0.28119352931365993,0.78125,0.28119352931365993,0.21875
7,7,8,9.096,3.43592638590945,1.09375,0.8435805879409798,3.5210890498233844,3.75,0.1893799878177534,0.0631266626059178,0.25,0.0631266626059178,0.75
8,8,9,10.42,3.5210890498233844,3.75,0.1893799878177534,4.033613445378151,4.0625,1.512493222271146,0.5041644074237154,0.1875,0.5041644074237154,0.8125
9,9,10,10.69,4.033613445378151,4.0625,1.512493222271146,4.138131260181616,4.6875,1.2643751158223164,0.4214583719407722,0.0625,0.4214583719407722,0.9375
10,10,11,11.202,4.138131260181616,4.6875,1.2643751158223164,4.336328005290407,5.0,3.0,1.0,0.0,1.0,1.0
11,11,12,11.55,4.336328005290407,5.0,3.0,4.47103985548154,3.59375,2.320718070536816,0.7735726901789386,0.28125,0.7735726901789386,0.71875
12,12,13,11.962,4.47103985548154,3.59375,2.320718070536816,4.6305262988112705,2.96875,1.1077485758020638,0.36924952526735455,0.40625,0.36924952526735455,0.59375
13,13,14,12.334,4.6305262988112705,2.96875,1.1077485758020638,4.774528621429377,3.59375,0.8897538392160962,0.29658461307203204,0.28125,0.29658461307203204,0.71875
14,14,15,16.06,4.774528621429377,3.59375,0.8897538392160962,6.216874465717188,2.8125,0.38018387680847854,0.1267279589361595,0.4375,0.1267279589361595,0.5625
15,15,16,16.554,6.216874465717188,2.8125,0.38018387680847854,6.408103356505749,3.4375,0.12053139473617991,0.040177131578726634,0.3125,0.040177131578726634,0.6875
16,16,17,17.042,6.408103356505749,3.4375,0.12053139473617991,6.597009629187568,2.5,1.243542954749187,0.414514318249729,0.5,0.414514318249729,0.5
17,17,18,17.68,6.597009629187568,2.5,1.243542954749187,6.843981354537977,1.09375,1.6018984459983634,0.5339661486661211,0.78125,0.5339661486661211,0.21875
18,18,19,18.152,6.843981354537977,1.09375,1.6018984459983634,7.026693978935144,1.5625,2.568262088272445,0.8560873627574817,0.6875,0.8560873627574817,0.3125
19,19,20,18.766,7.026693978935144,1.5625,2.568262088272445,7.264375231858578,0.46875,1.4581118084324713,0.48603726947749043,0.90625,0.48603726947749043,0.09375
20,20,21,19.402,7.264375231858578,0.46875,1.4581118084324713,7.510572751173406,0.0,0.06882290752660197,0.022940969175533992,1.0,0.022940969175533992,0.0
21,21,22,25.394,7.510572751173406,0.0,0.06882290752660197,9.830094033774737,1.875,0.35283234037202427,0.1176107801240081,0.625,0.1176107801240081,0.375
22,22,23,26.182,9.830094033774737,1.875,0.35283234037202427,10.135131211793738,0.9375,0.3516610866942579,0.1172203622314193,0.8125,0.1172203622314193,0.1875
23,23,24,27.008,10.135131211793738,0.9375,0.3516610866942579,10.45487830448878,0.625,0.0,0.0,0.875,0.0,0.125
24,24,25,27.35,10.45487830448878,0.625,0.0,10.58726753657317,1.40625,0.06975114584780687,0.023250381949268956,0.71875,0.023250381949268956,0.28125
